
Contrast: TPT_Semakau 

       average        sd  ratio       ava       avb cumsum
14   0.0049580 0.0072239 0.6863 0.0088346 0.0023830 0.7658
29   0.0047112 0.0063285 0.7444 0.0075800 0.0036847 0.7773
448  0.0046701 0.0103981 0.4491 0.0000000 0.0093401 0.7888
224  0.0045821 0.0115896 0.3954 0.0091642 0.0000000 0.8000
62   0.0044948 0.0075726 0.5936 0.0045993 0.0054124 0.8111
26   0.0043511 0.0049565 0.8779 0.0047653 0.0063185 0.8217
42   0.0040153 0.0066695 0.6020 0.0013848 0.0072612 0.8316
63   0.0037357 0.0066250 0.5639 0.0005718 0.0071538 0.8408
1263 0.0034564 0.0062265 0.5551 0.0057655 0.0018714 0.8492
1789 0.0032651 0.0054262 0.6017 0.0011360 0.0059225 0.8573
35   0.0031087 0.0040600 0.7657 0.0022555 0.0052065 0.8649
30   0.0031005 0.0064050 0.4841 0.0029765 0.0038860 0.8725
1680 0.0030991 0.0055944 0.5540 0.0000000 0.0061981 0.8801
12   0.0030476 0.0133212 0.2288 0.0060952 0.0000000 0.8876
458  0.0023943 0.0059027 0.4056 0.0008255 0.0041465 0.8935
1484 0.0023833 0.0052250 0.4561 0.0047666 0.0000000 0.8993
878  0.0023142 0.0055214 0.4191 0.0031220 0.0018614 0.9050
78   0.0022556 0.0048010 0.4698 0.0000000 0.0045112 0.9105
33   0.0021984 0.0042766 0.5140 0.0011716 0.0035709 0.9159
65   0.0019925 0.0034495 0.5776 0.0019761 0.0025017 0.9208
45   0.0019644 0.0043261 0.4541 0.0015442 0.0027277 0.9256
265  0.0019441 0.0048831 0.3981 0.0019662 0.0021356 0.9304
92   0.0019066 0.0027877 0.6839 0.0023968 0.0021555 0.9351
114  0.0018974 0.0045969 0.4127 0.0006959 0.0032535 0.9397
57   0.0018147 0.0045848 0.3958 0.0028779 0.0009393 0.9442
1481 0.0017241 0.0052789 0.3266 0.0034483 0.0000000 0.9484
1958 0.0017051 0.0038978 0.4375 0.0000000 0.0034103 0.9526
1943 0.0015281 0.0037113 0.4117 0.0013778 0.0018649 0.9564
1795 0.0015171 0.0031564 0.4806 0.0017460 0.0016103 0.9601
229  0.0013507 0.0059040 0.2288 0.0027014 0.0000000 0.9634
1773 0.0012580 0.0035680 0.3526 0.0000000 0.0025159 0.9665
85   0.0012232 0.0053467 0.2288 0.0024464 0.0000000 0.9695
1025 0.0012143 0.0030687 0.3957 0.0024286 0.0000000 0.9725
1519 0.0011926 0.0023270 0.5125 0.0009602 0.0016383 0.9754
1118 0.0011810 0.0051620 0.2288 0.0023619 0.0000000 0.9783
1659 0.0011292 0.0044489 0.2538 0.0020531 0.0002282 0.9811
1279 0.0008488 0.0027325 0.3106 0.0012583 0.0004880 0.9832
718  0.0008462 0.0020624 0.4103 0.0016923 0.0000000 0.9852
185  0.0008277 0.0017354 0.4769 0.0008261 0.0009908 0.9873
53   0.0008195 0.0035820 0.2288 0.0016390 0.0000000 0.9893
858  0.0007860 0.0022295 0.3526 0.0000000 0.0015721 0.9912
939  0.0007626 0.0018358 0.4154 0.0015253 0.0000000 0.9931
910  0.0005704 0.0017244 0.3308 0.0007858 0.0003944 0.9945
32   0.0005454 0.0014527 0.3755 0.0008677 0.0002790 0.9958
87   0.0005258 0.0014914 0.3526 0.0000000 0.0010516 0.9971
36   0.0004335 0.0018947 0.2288 0.0008669 0.0000000 0.9982
208  0.0003783 0.0016536 0.2288 0.0007566 0.0000000 0.9991
1210 0.0002493 0.0008359 0.2983 0.0004986 0.0000000 0.9997
1132 0.0001202 0.0005255 0.2288 0.0002405 0.0000000 1.0000
27   0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
43   0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1184 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1375 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1531 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1644 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1782 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1890 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1900 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1957 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1962 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000

Contrast: Raffles Light House_Hantu 

       average        sd  ratio       ava       avb cumsum
4    0.0796131 0.0651428 1.2221 0.5729790 4.571e-01 0.1857
17   0.0618696 0.0826668 0.7484 0.0290947 1.383e-01 0.3301
18   0.0199081 0.0135016 1.4745 0.0760574 3.895e-02 0.3765
8    0.0188184 0.0169688 1.1090 0.0377361 1.638e-02 0.4204
24   0.0180544 0.0135547 1.3320 0.0211358 4.395e-02 0.4626
46   0.0180303 0.0218821 0.8240 0.0034138 3.538e-02 0.5046
10   0.0176306 0.0172882 1.0198 0.0172691 3.150e-02 0.5458
38   0.0134637 0.0095772 1.4058 0.0197778 3.597e-02 0.5772
31   0.0116063 0.0141762 0.8187 0.0036640 2.280e-02 0.6042
202  0.0089561 0.0156346 0.5728 0.0035123 1.580e-02 0.6251
9    0.0088326 0.0064569 1.3679 0.0221042 1.292e-02 0.6457
19   0.0085772 0.0077485 1.1069 0.0142901 1.229e-02 0.6658
15   0.0079523 0.0113036 0.7035 0.0156479 2.442e-03 0.6843
35   0.0071958 0.0125342 0.5741 0.0022555 1.304e-02 0.7011
1404 0.0071303 0.0075962 0.9387 0.0080231 1.042e-02 0.7177
58   0.0067137 0.0101920 0.6587 0.0120009 3.566e-03 0.7334
30   0.0063085 0.0058627 1.0760 0.0029765 1.205e-02 0.7481
21   0.0062463 0.0103190 0.6053 0.0119456 1.367e-03 0.7627
224  0.0060131 0.0110358 0.5449 0.0091642 4.088e-03 0.7767
1958 0.0057080 0.0080125 0.7124 0.0000000 1.142e-02 0.7900
11   0.0055424 0.0070482 0.7864 0.0072430 6.455e-03 0.8030
14   0.0054390 0.0067091 0.8107 0.0088346 4.483e-03 0.8157
29   0.0050513 0.0051903 0.9732 0.0075800 5.045e-03 0.8274
1943 0.0050236 0.0060849 0.8256 0.0013778 9.633e-03 0.8392
51   0.0042145 0.0072022 0.5852 0.0076838 2.295e-03 0.8490
1484 0.0040135 0.0048118 0.8341 0.0047666 5.387e-03 0.8584
26   0.0031967 0.0052083 0.6138 0.0047653 2.693e-03 0.8658
12   0.0030476 0.0133510 0.2283 0.0060952 0.000e+00 0.8729
1263 0.0028828 0.0063329 0.4552 0.0057655 0.000e+00 0.8797
49   0.0028121 0.0123193 0.2283 0.0056242 0.000e+00 0.8862
41   0.0025330 0.0043763 0.5788 0.0023370 3.390e-03 0.8921
85   0.0025190 0.0055434 0.4544 0.0024464 2.880e-03 0.8980
62   0.0022996 0.0043201 0.5323 0.0045993 0.000e+00 0.9034
1025 0.0022734 0.0029497 0.7707 0.0024286 2.977e-03 0.9087
65   0.0017676 0.0028996 0.6096 0.0019761 1.949e-03 0.9128
57   0.0017495 0.0045102 0.3879 0.0028779 7.764e-04 0.9169
1481 0.0017241 0.0052908 0.3259 0.0034483 0.000e+00 0.9209
878  0.0015856 0.0053349 0.2972 0.0031220 6.162e-05 0.9246
43   0.0015467 0.0019587 0.7896 0.0000000 3.093e-03 0.9282
1644 0.0015256 0.0030667 0.4975 0.0000000 3.051e-03 0.9318
1890 0.0015020 0.0030191 0.4975 0.0000000 3.004e-03 0.9353
1782 0.0014410 0.0028966 0.4975 0.0000000 2.882e-03 0.9386
63   0.0014288 0.0026165 0.5461 0.0005718 2.514e-03 0.9420
78   0.0014126 0.0028395 0.4975 0.0000000 2.825e-03 0.9453
1659 0.0013901 0.0043957 0.3162 0.0020531 8.080e-04 0.9485
229  0.0013507 0.0059173 0.2283 0.0027014 0.000e+00 0.9517
1184 0.0013433 0.0027001 0.4975 0.0000000 2.687e-03 0.9548
92   0.0013241 0.0023503 0.5634 0.0023968 4.190e-04 0.9579
1773 0.0012818 0.0018072 0.7092 0.0000000 2.564e-03 0.9609
939  0.0011849 0.0018609 0.6367 0.0015253 1.206e-03 0.9636
1118 0.0011810 0.0051736 0.2283 0.0023619 0.000e+00 0.9664
910  0.0010497 0.0020288 0.5174 0.0007858 1.460e-03 0.9688
114  0.0010185 0.0018178 0.5603 0.0006959 1.526e-03 0.9712
42   0.0010141 0.0022563 0.4494 0.0013848 8.043e-04 0.9736
265  0.0009831 0.0043068 0.2283 0.0019662 0.000e+00 0.9759
1900 0.0009383 0.0018860 0.4975 0.0000000 1.877e-03 0.9781
32   0.0009016 0.0014055 0.6415 0.0008677 1.169e-03 0.9802
1795 0.0008730 0.0026626 0.3279 0.0017460 0.000e+00 0.9822
718  0.0008462 0.0020670 0.4094 0.0016923 0.000e+00 0.9842
53   0.0008195 0.0035901 0.2283 0.0016390 0.000e+00 0.9861
45   0.0007721 0.0027042 0.2855 0.0015442 0.000e+00 0.9879
416  0.0007540 0.0033030 0.2283 0.0015079 0.000e+00 0.9896
1279 0.0006291 0.0027562 0.2283 0.0012583 0.000e+00 0.9911
33   0.0005858 0.0025663 0.2283 0.0011716 0.000e+00 0.9925
1789 0.0005680 0.0021773 0.2609 0.0011360 0.000e+00 0.9938
1519 0.0004801 0.0011565 0.4151 0.0009602 0.000e+00 0.9949
36   0.0004335 0.0018990 0.2283 0.0008669 0.000e+00 0.9959
185  0.0004131 0.0013142 0.3143 0.0008261 0.000e+00 0.9969
458  0.0004128 0.0018083 0.2283 0.0008255 0.000e+00 0.9979
208  0.0003783 0.0016573 0.2283 0.0007566 0.000e+00 0.9987
1210 0.0002493 0.0008378 0.2976 0.0004986 0.000e+00 0.9993
87   0.0001668 0.0003353 0.4975 0.0000000 3.336e-04 0.9997
1132 0.0001202 0.0005267 0.2283 0.0002405 0.000e+00 1.0000
27   0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
448  0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
858  0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1375 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1531 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1680 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1957 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1962 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000

Contrast: Raffles Light House_Sisters 

       average       sd  ratio       ava       avb cumsum
4    0.1920358 0.119923 1.6013 0.5729790 0.2610262 0.2960
8    0.0356078 0.029367 1.2125 0.0377361 0.0842216 0.3509
18   0.0284134 0.016151 1.7593 0.0760574 0.0303544 0.3947
10   0.0269115 0.037537 0.7169 0.0172691 0.0556067 0.4362
31   0.0256693 0.031775 0.8078 0.0036640 0.0514842 0.4758
24   0.0239766 0.028954 0.8281 0.0211358 0.0417028 0.5127
49   0.0230987 0.044314 0.5213 0.0056242 0.0430794 0.5483
17   0.0163200 0.015655 1.0425 0.0290947 0.0159398 0.5735
